URI_Name;Provincia;Cantón;Parroquia;Latitud;Longitud;Nombre;Dirección;Tipo;Régimen Escolar;Modalidad;Jornada Laboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
UNIDADEDUCATIVAPALTAS;Loja_Province;PALTAS;LOURDES;-4,057003828900;-79,646028960400;UNIDAD EDUCATIVA PALTAS;VENTURA   ENCALADA Y  VIA PANAMERICANA ;FiscalHighSchool;Costa;Presencial;Matutino,Nocturno;32;17;49;8;377;413;790
ESCUELADEEDUCACIONBASICAELVIABÉLGICAJIMÉNEZDEGONZÁLEZ;Loja_Province;LOJA;MALACATOS(VALLADOLID);-4,150027393010;-79,207754011600;ESCUELA DE EDUCACION BASICA ELVIA BÉLGICA JIMÉNEZ DE GONZÁLEZ;   BARRIO RUMIZHITANA;FiscalHighSchool;Sierra;Presencial;Matutina;13;5;18;3;122;140;262
UNIDADEDUCATIVAMANUELJOSÉRODRIGUEZ;Loja_Province;LOJA;MALACATOS(VALLADOLID);-4,216140308290;-79,269164699700;UNIDAD EDUCATIVA MANUEL JOSÉ  RODRIGUEZ;   BARRIO LA TRINIDAD;FiscomitionalHighSchool;Sierra;Presencial;Matutina;22;12;34;1;372;379;751
COLEGIODEBACHILLERATOMANÚ;Loja_Province;SARAGURO;MANU;-3,485142462800;-79,413913316800;COLEGIO DE BACHILLERATO MANÚ;   PACAIPAMBA VIA LOJA SN;FiscalHighSchool;Costa;Presencial;Matutina;5;8;13;5;119;110;229
COLEGIODEBACHILLERATOORIANGA;Loja_Province;PALTAS;ORIANGA;-3,897668216730;-79,871476291700;COLEGIO DE BACHILLERATO ORIANGA;   BARRIO PUEBLO NUEVO PARROQUIA ORIANGA  A 80M DEL SUBCENTRO DE SALUD;FiscalHighSchool;Costa;Presencial;Matutina;7;4;11;2;69;100;169
COLEGIODEBACHILLERATODRCARLOSMANUELESPINOZA;Loja_Province;PALTAS;SANANTONIO;-3,979668730180;-79,664528439500;COLEGIO DE BACHILLERATO  DR CARLOS MANUEL ESPINOZA;   CENTRO DE  LA PARROQUIA  DE SAN ANTONIO;FiscalHighSchool;Costa;Presencial;Matutina;6;2;8;2;43;46;89
UNIDADEDUCATIVACOMUNITARIAINTERCULTURALBILINGUEABC;Loja_Province;SARAGURO;SANPABLODETENTA;-3,599750648550;-79,289301887700;UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE ABC;   PARROQUIA TENTA BARRIO MEMBRILLO;FiscalHighSchool;Sierra;Presencial;Matutina;8;16;24;2;227;229;456
UNIDADEDUCATIVACOMUNITARIAINTERCULTURALBILINGUETUPAKYUPANKI;Loja_Province;SARAGURO;SARAGURO;-3,648056931070;-79,210086180100;UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGUE TUPAK YUPANKI;   COMUNIDAD  OÑACAPAC;FiscalHighSchool;Sierra;Presencial;Matutino,Nocturno;12;6;18;0;110;128;238
UECOMUNITARIAINTERCULTURALBILINGUEINKASAMANA;Loja_Province;SARAGURO;SARAGURO;-3,629859878640;-79,245079615300;UE COMUNITARIA INTERCULTURAL BILINGUE INKA SAMANA;   COMUNIDAD ILINCHO AYLLU LLAKTA;FiscalHighSchool;Sierra;Presencial;Matutina;9;5;14;2;43;54;97
COLEGIODEBACHILLERATOSARAGURO;Loja_Province;SARAGURO;SARAGURO;-3,620804350560;-79,238499807000;COLEGIO DE BACHILLERATO SARAGURO;10 DE MARZO  PANAMERICANA ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina,Nocturno;26;28;54;9;475;444;919
COLEGIODEBACHILLERATOnUKANCHIKKAWSAYPARAPCEI;Loja_Province;SARAGURO;SARAGURO;-3,624361692040;-79,217306135700;COLEGIO DE BACHILLERATO ÑUKANCHIK KAWSAY PARA PCEI;   COMUNIDAD DE TUNCARTA A DIEZ MINUTOS DE LA VIA A CUENCA;FiscalHighSchool;Sierra;Distancia;Matutina;3;1;4;0;57;43;100
